0;#;FORM;LEMMA;POS;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;RIGHTLEMMA;AUTO_LEMMA;AUTO_POS;AUTO_GRAM
42728;# doc = C:\Users\Александр\Desktop\Olesar\LiveCorpus\Опоздавшие(1)\comment_video.2.txt;;;;;;;;;;;;;;;;;
42729;# mediafile = https://yadi.sk/i/d0yRP2Kp3Mxwq4?t=0m49s;;;;;;;;;;;;;;;;;
42730;# mediafile2 = https://www.youtube.com/watch?v=LL8XlYc7LCQ;;;;;;;;;;;;;;;;;
42731;"<speech role=""Вл@"" />";;;;;;;;;;;;;;;;;
42731;<noindex>[нрзб]</noindex>;;;;;;;;;;;;;;;;;
42732;;Шесть;ШЕСТЬ;NUM;nom;;;FORM  Шесть супергаджетов для котов //;ь;т;с;е;Ш;;Ь;0;0;0
42733;;супергаджетов;СУПЕРГАДЖЕТ;S;m inan gen pl;;;FORM  Шесть супергаджетов для котов //;в;о;т;е;ж;д;Т;СУПЕРГАДЖЕТ;S;m inan gen pl
42734;;для;ДЛЯ;PR;PR;;; Шесть супергаджетов для котов // он;я;л;д;;;;Я;ДЛЯ;PR;PR
42735;;котов;КОТ;S;m anim gen pl;;;Шесть супергаджетов для котов // он грузится;в;о;т;о;к;;Т;КОТ;S;m anim gen pl
42736;;//;//;PUNCT;_;;;супергаджетов для котов // он грузится э;/;/;;;;;/;//;PUNCT;_
42737;;он;ОН;SPRO;sg 3p m nom;;;для котов // он грузится э ;н;о;;;;;Н;ОН;SPRO;sg 3p m nom
42738;;грузится;ГРУЗИТЬСЯ;V;ipf praes sg indic - 3p;;;котов // он грузится э  ;я;с;т;и;з;у;Я;ГРУЗИТЬСЯ;V;ipf praes sg indic - 3p
42739;;э;Э;INTJ;INTJ;;;// он грузится э   Компьютер;э;;;;;;Э;Э;S;- - nonflex nonflex
42740;;;;;;;;;;;;;;;;;;
42741;"<speech role=""Вр@"" />";;;;;;;;;;;;;;;;;
42742;;Компьютер;КОМПЬЮТЕР;S;m inan nom sg;;;э   Компьютер не готов к;р;е;т;ю;ь;п;Р;КОМПЬЮТЕР;S;m inan nom sg
42743;;не;НЕ;PART;PART;;;  Компьютер не готов к такой;е;н;;;;;Е;НЕ;PART;PART
42744;;готов;ГОТОВЫЙ;A;- - sg brev m -;;; Компьютер не готов к такой офигенности;в;о;т;о;г;;Й;ГОТОВЫЙ;A;- - sg brev m -
42745;;к;К;PR;PR;;;Компьютер не готов к такой офигенности ;к;;;;;;К;К;PR;PR
42746;;такой;ТАКОЙ;APRO;f - dat sg;;;не готов к такой офигенности  ;й;о;к;а;т;;Й;ТАКОЙ;A;- ins sg plen f -
42747;;офигенности;ОФИГЕННОСТЬ;S;f inan dat sg;;;готов к такой офигенности   Интернет;и;т;с;о;н;н;Ь;ОФИГЕННОСТЬ;S;f inan loc sg
42748;;;;;;;;;;;;;;;;;;
42749;"<speech role=""Вл@"" />";;;;;;;;;;;;;;;;;
42750;;Интернет;ИНТЕРНЕТ;S;m inan nom sg;;;офигенности   Интернет не готов к;т;е;н;р;е;т;Т;ИНТЕРНЕТ;S;m inan nom sg
42751;;не;НЕ;PART;PART;;;  Интернет не готов к такой;е;н;;;;;Е;НЕ;PART;PART
42752;;готов;ГОТОВЫЙ;A;- - sg brev m -;;; Интернет не готов к такой офигенности;в;о;т;о;г;;Й;ГОТОВЫЙ;A;- - sg brev m -
42753;;к;К;PR;PR;;;Интернет не готов к такой офигенности //;к;;;;;;К;К;PR;PR
42754;;такой;ТАКОЙ;APRO;f - dat sg;;;не готов к такой офигенности // это;й;о;к;а;т;;Й;ТАКОЙ;A;- ins sg plen f -
42755;;офигенности;ОФИГЕННОСТЬ;S;f inan dat sg;;;готов к такой офигенности // это ;и;т;с;о;н;н;Ь;ОФИГЕННОСТЬ;S;f inan loc sg
42756;"<distinct form=""эт"">";;;;;;;;;;;;;;;;;
42757;;//;//;PUNCT;;;;к такой офигенности // это  ;/;/;;;;;/;//;PUNCT;
42758;;это;ЭТО;INTJ;INTJ;;;такой офигенности // это   Всё;о;т;э;;;;О;ЭТО;S;n - acc sg
42759;</distinct>;;;;;;;;;;;;;;;;;
42760;<noindex>[нрзб]</noindex>;;;;;;;;;;;;;;;;;
42761;;Всё;ВСЕ;ADV;-;;;это   Всё / пошло //;ё;с;В;;;;Е;ВСЕ;S;n - nom sg
42762;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42763;;пошло;ПОЙТИ;V;pf praet sg indic n -;;; Всё / пошло // Сливкишоу /;о;л;ш;о;п;;И;ПОЙТИ;V;pf praet sg indic n -
42764;"<class=""note"">смеется</span>";;;;;;;;;;;;;;;;;
42765;;//;//;PUNCT;;;;Всё / пошло // Сливкишоу / Обожаю;/;/;;;;;/;//;PUNCT;
